User Text,ID,Admiration,Approval,Caring,Desire,Curiosity,Excitement,Gratitude,Joy,Love,Optimism,Pride,Relief,Anger,Annoyance,Disappointment,Disapproval,Embarrassment,Grief,Nervousness,Remorse,Sadness,Confusion,Fear,Realization,Surprise,Negative,Positive,Neutral,Context,Desired Art,Model Response,Comfort,Inspire,Encourage,Balance,Redirect,Calm,Empathize,ArtID
Art is stupid!,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,
Art is stupid.,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,,,,,,,,,,,
Art is wonderful!,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
Art is wonderful.,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
Art’s stupid!,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,
Art’s stupid.,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,,,,,,,,,,,
Art’s wonderful!,,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
Art’s wonderful.,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,
Class was great!,,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"User finished a busy, balanced class.",,Nothing like a solid class! Here's some positive vibes to keep up the momentum!,,,,,,,,"BEghMxjPmigKpRUY0B6x, ECv9xW9u10JBogZctA4x"
Class was great!,,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"User finished a hard, exhausting class","User is seeking art that reminds them of the success found from hard, passionate studying and effort. Encouraging them to continue the journey of learning.",Nothing like a solid class! Here's some positive vibes to keep up the momentum!,,,,,,,,BEghMxjPmigKpRUY0B6x
Class was great.,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"User finished an easy, average day of class.","User is seeking art that reminds them of the success found from hard, passionate studying and effort. Encouraging them to continue the journey of learning.",Nothing like a solid class! Here's some positive vibes.,,,,,,,,BEghMxjPmigKpRUY0B6x
Class was horrible today.,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"User finished a negative, hard class today.",User is seeking art that will balance their energy and stabilize their nervous system. Natural scenes and quiet locales.,Oh no! Nothing like a hard class. Whether that’s a lack of energy or just not being interested in the subject matter; it happens! ,1,0,1,1,0,0,1,Curiosity piece
Class was horrible today.,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"User finished a negative, hard class today.",User is seeking art that will balance their energy and stabilize their nervous system. Natural scenes and quiet locales.,"The journey of education certainly isn’t easy; and it’s easy to forget that being a successful student will take diligent effort. However, it’s always good to rest and stabilize when needed.",1,0,0,1,0,1,1,Curiosity piece
Everything feels perfectly balanced today.,,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,User has had a good day and/or experience today.,,Here's a harmonious piece to complement your balanced mood.,,,,,,,,HfFQTCaopQ8cK8mCXY4H
Excited for the possibilities of a new day!,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"User is waking up, feeling motivated to start a new day!",User is seeking art that has movement and energy; keeping them motivated. ,Start your day with this inspiring artwork.,,,,,,,,BEghMxjPmigKpRUY0B6x
Feeling blue…,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,User is stuck in a cycle of negativity and needs validation and comfort.,User is seeking art that will help them move through their feelings and bring up what is unknown in order to break the cycle. Art that will make one feel; but will help them move through it with action.,"Aw, I invite you to take time processing that through art and maybe some journaling.",,,,,,,,Ibs2vCic2ZjxsRlkAFWC
Feeling blue…,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,User is stuck in a cycle of negativity and needs validation and comfort.,User is seeking art that will help them move through their feelings and bring up what is unknown in order to break the cycle. Art that will make one feel; but will help them move through it with action.,Sometimes events can really shift our energy and get us stuck in a cycle. Maybe this art can help you process what’s happening and provide some comfort.,,,,,,,,Ibs2vCic2ZjxsRlkAFWC
Feeling hopeful about the future.,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,User is in the middle of their day; feeling hopeful possibly due to some positive news or event during the day.,User is seeking art that has movement and energy; keeping them motivated. ,Here's a piece that symbolizes the bright future ahead!,,,,,,,,BEghMxjPmigKpRUY0B6x
Feeling lost…,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,"User is needing to process feelings of no direction, or feeling regretful.",,It can be easy to lose our northstar. In these times they can often be great to use our friends and a families as reminders of while we do what we do.,,,,,,,,
Feeling meditative and introspective.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,User’s day has made them feel collected and calm. ,"User is seeking art that reminds them of times of peace and tranquility. Natural, playful scenes that bring a sense of delight and calm.",Take a moment to focus with this contemplative piece.,,,,,,,,HfFQTCaopQ8cK8mCXY4H
Free Palestine!,,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,User finds the injustices of the world to be overwhelming; they are very angry and are willing to fight for what they believe in.,User is seeking art that calls people to action.,100%! From the river to the sea!,,,,,,,,ECv9xW9u10JBogZctA4x
Free Palestine.,,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,User finds the injustices of the world to be overwhelming; they are very angry and are willing to fight for what they believe in.,User is seeking art that calls people to action.,100%! From the river to the sea!,,,,,,,,ECv9xW9u10JBogZctA4x
Free Palestine!,,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,User finds the injustices of the world to be overwhelming; they are very angry and are willing to fight for what they believe in.,User is seeking art that calls people to action.,100%! From the river to the sea!,,,,,,,,ECv9xW9u10JBogZctA4x
Freedom now!,,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,User finds the injustices of the world to be overwhelming; but still finds hope and motivation to fight for what they believe in.,User is seeking art that calls people to action.,,,,,,,,,ECv9xW9u10JBogZctA4x
"Freedom, now.",,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,User finds the injustices of the world to be overwhelming; but still finds hope and motivation to fight for what they believe in.,User is seeking art that calls people to action.,,,,,,,,,ECv9xW9u10JBogZctA4x
"Freedom, now!",,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,User finds the injustices of the world to be overwhelming and is longing for a better place to exist; they are in need of support and solidarity.,User is seeking art that calls people to action.,,,,,,,,,ECv9xW9u10JBogZctA4x
Freedom!,,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,User finds the injustices of the world to be overwhelming and is longing for a better place to exist; they are in need of support and solidarity.,User is seeking art that calls people to action.,,,,,,,,,ECv9xW9u10JBogZctA4x
Give me something cool.,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,User wants to see something interesting. They are feeling curious.,,,,,,,,,,
